date,home_team,away_team,elo_home,elo_away,elo_diff,form_home_pts,form_away_pts,form_diff,weighted_form_home,weighted_form_away,gf_home_last_n,ga_home_last_n,gf_away_last_n,ga_away_last_n,attack_home,defense_home,attack_away,defense_away,neutral,tournament_weight,home_score,away_score,result
2000-02-03,Tunisia,Congo,1644.0,,,7.0,7.0,0.0,5.457531327077931,5.457531327077931,11.0,6.0,4.0,4.0,1.1481,0.7037,0.6296,0.7037,1,1.5,1,0,H
2000-02-04,Cyprus,Armenia,,,,7.0,7.0,-1.2608806931137941,7.417244188524377,8.67812488163817,8.0,16.0,8.0,7.0,1.1111,1.3333,0.6667,1.1111,0,1.5,3,2,H
2000-02-04,Faroe Islands,Iceland,,,,0.0,7.0,-7.568317925093943,0.0,7.568317925093943,0.0,7.0,6.0,4.0,0.4074,1.1852,1.0,0.6296,1,1.5,2,3,A
2000-02-04,Kuwait,Iran,,1759.0,,7.0,4.0,3.508507196032385,7.301280275650308,3.7927730796179233,9.0,5.0,5.0,6.0,2.1852,0.7037,1.2963,0.7778,0,1.0,1,1,D
2000-02-04,Moldova,Lithuania,,,,3.0,3.0,-0.5779047826776589,2.2426630301376678,2.8205678128153266,3.0,6.0,2.0,10.0,0.5185,1.4444,0.6296,1.1852,1,1.5,2,1,H
2000-02-04,Norway,Sweden,1904.0,1891.0,13.0,10.0,10.0,-0.9310634741519124,8.278099139893257,9.20916261404517,7.0,2.0,4.0,1.0,1.2222,0.5556,0.6667,0.3704,1,1.5,1,1,D
2000-02-04,Romania,Georgia,,,,11.0,1.0,10.771887300226973,11.97911422060905,1.2072269203820774,13.0,4.0,5.0,9.0,1.3333,0.4074,0.8889,1.0741,1,1.5,1,1,D
2000-02-05,Guatemala,Chile,,,,3.0,4.0,0.61757194246244,3.0605529391757313,2.4429809967132914,2.0,5.0,6.0,8.0,0.7037,1.0741,1.0,1.0,0,1.0,2,1,H
2000-02-05,Japan,Mexico,1608.0,1904.0,-296.0,3.0,8.0,-5.18091660741302,3.3275905886193664,8.508507196032387,4.0,9.0,6.0,5.0,0.5926,0.8519,1.1852,0.8889,1,1.5,0,1,A
2000-02-06,Albania,Andorra,,,,4.0,0.0,5.590519419379208,5.590519419379208,0.0,5.0,9.0,1.0,13.0,0.8519,1.1852,0.2729,2.2222,1,1.5,3,0,H
2000-02-06,Cameroon,Algeria,,1487.0,,6.0,8.0,-1.958397146552132,5.864343791283899,7.822740937836031,6.0,4.0,6.0,3.0,0.963,0.5185,0.8519,0.6667,1,1.5,2,1,H
2000-02-06,Cayman Islands,Jamaica,,,,6.0,7.0,-3.8797585631081093,5.332441617417332,9.212200180525441,10.0,9.0,9.0,7.0,0.8148,2.1481,1.037,1.5556,0,1.0,0,0,D
2000-02-06,Cyprus,Romania,,,,9.0,11.0,-0.45256785429700663,9.982771765858098,10.435339620155105,9.0,16.0,12.0,3.0,1.2222,1.3333,1.2963,0.4074,0,1.5,3,2,H
2000-02-06,Georgia,Armenia,,,,2.0,7.0,-4.268231132992553,2.490299320418698,6.758530453411251,6.0,9.0,10.0,8.0,0.8148,1.1111,0.7037,1.1111,1,1.5,2,1,H
2000-02-06,Ghana,South Africa,1590.0,1648.0,-58.0,7.0,11.0,-4.000742210114171,6.758530453411251,10.759272663525422,5.0,5.0,6.0,2.0,0.8148,0.6296,0.963,0.6296,0,1.5,0,1,A
2000-02-06,Latvia,Lithuania,,,,2.0,3.0,-0.5242510099459416,1.6724094113806343,2.196660421326576,6.0,12.0,3.0,11.0,0.7407,1.3704,0.6667,1.0741,1,1.5,1,2,A
2000-02-06,Malta,Azerbaijan,,,,4.0,1.0,4.917367797884402,5.857557068822844,0.9401892709384423,6.0,9.0,2.0,14.0,0.5926,1.6667,0.6296,1.5185,0,1.5,3,0,H
2000-02-07,Egypt,Tunisia,1629.0,1644.0,-15.0,9.0,7.0,3.524260797308381,11.092578722402324,7.568317925093943,7.0,5.0,10.0,6.0,0.9259,1.0,1.1111,0.5926,1,1.5,0,1,A
2000-02-07,Nigeria,Senegal,,1523.0,,10.0,6.0,4.715734116414462,10.38888573790927,5.6731516214948075,9.0,7.0,5.0,4.0,0.7407,1.2963,1.1111,0.7037,0,1.5,2,1,H
2000-02-07,Singapore,Malaysia,,,,5.0,9.0,-7.1184377619366375,3.9741409604656868,11.092578722402324,3.0,4.0,11.0,10.0,0.8148,0.6296,0.8889,1.1111,0,1.0,3,1,H
2000-02-08,Albania,Azerbaijan,,,,7.0,1.0,8.272010909587,9.00423105002919,0.732220140442192,8.0,8.0,2.0,13.0,0.963,1.1481,0.6296,1.4444,1,1.5,1,0,H
2000-02-08,Malta,Andorra,,,,7.0,0.0,9.212200180525441,9.212200180525441,0.0,8.0,5.0,1.0,15.0,0.6667,1.6296,0.2593,2.2222,0,1.5,1,1,D
2000-02-08,Mexico,Czechia,1904.0,1943.0,-39.0,8.0,13.0,-1.955359580071855,9.944420320967634,11.899779901039489,3.0,2.0,13.0,1.0,1.1852,0.8148,1.4444,0.4815,1,1.5,1,2,A
2000-02-08,Syria,North Korea,,,,3.0,6.0,-4.485573278995387,2.196660421326576,6.682233700321963,3.0,12.0,8.0,10.0,1.6667,1.0741,1.5185,1.1852,0,1.0,5,1,H
2000-02-09,Bulgaria,Slovakia,,,,5.0,9.0,-2.6049475183984505,4.924154520345457,7.529102038743908,5.0,4.0,5.0,6.0,0.5926,0.8519,0.6667,0.7778,1,1.0,1,0,H
2000-02-09,Cayman Islands,Jamaica,,,,4.0,8.0,-4.353900901588424,4.370677862295582,8.724578763884006,6.0,8.0,8.0,5.0,0.7778,2.1481,1.037,1.2222,0,1.0,0,1,A
2000-02-09,Chile,Australia,,1746.0,,1.0,10.0,-7.707845521136224,0.5702536187570333,8.278099139893257,4.0,8.0,23.0,3.0,0.963,1.0,1.6296,1.0,0,1.0,2,1,H
2000-02-09,Honduras,El Salvador,,,,11.0,1.0,9.079212088224164,10.019401359162606,0.9401892709384423,13.0,4.0,4.0,12.0,1.5556,0.8889,0.5926,1.4815,0,1.0,5,1,H
2000-02-10,Andorra,Azerbaijan,,,,1.0,1.0,0.9798564307232223,1.5501100494802555,0.5702536187570333,2.0,12.0,1.0,9.0,0.2593,2.037,0.5926,1.4815,1,1.5,0,0,D
2000-02-10,Cameroon,Tunisia,,1644.0,,8.0,7.0,-0.43882846007012155,8.77337172045532,9.212200180525441,6.0,3.0,4.0,6.0,0.963,0.5185,1.0,0.5926,1,1.5,3,0,H
2000-02-10,Hong Kong,Singapore,,,,10.0,7.0,1.168011034032041,8.46929130968235,7.301280275650308,11.0,8.0,5.0,4.0,1.1481,1.6296,0.9259,0.6667,0,1.0,0,0,D
2000-02-10,Kuwait,Turkmenistan,,,,5.0,2.0,3.7836472828313905,5.904010951068679,2.120363668237289,7.0,6.0,3.0,11.0,2.0741,0.7407,0.963,1.3333,0,3.0,6,1,H
2000-02-10,Malta,Albania,,,,8.0,10.0,-2.9382535772753524,8.724578763884006,11.662832341159358,8.0,4.0,9.0,6.0,0.6296,1.6296,1.0,1.037,0,1.5,0,1,A
2000-02-10,Nepal,Yemen,,,,9.0,7.0,1.7905464492754035,7.529102038743908,5.738555589468504,12.0,7.0,10.0,7.0,0.7778,1.7778,0.6667,1.2963,1,3.0,0,3,A
2000-02-10,Nigeria,South Africa,,1648.0,,10.0,13.0,-1.1766855573838289,11.408860601852018,12.585546159235847,9.0,8.0,7.0,2.0,0.8148,1.2963,0.9259,0.5556,0,1.5,2,0,H
2000-02-12,Australia,Slovakia,1746.0,,,7.0,6.0,0.5833195288933268,5.114648197979753,4.5313286690864265,21.0,4.0,3.0,7.0,1.4444,1.0,0.6667,0.7778,1,1.0,0,0,D
2000-02-12,Chile,Bulgaria,,,,3.0,7.0,-3.39082143157236,4.650330148440767,8.041151580013127,5.0,8.0,5.0,3.0,0.9259,0.963,0.5556,0.8148,0,1.0,3,2,H
2000-02-12,Colombia,Jamaica,1800.0,,,4.0,11.0,-8.184168015970426,3.2608709057513554,11.445038921721782,8.0,10.0,9.0,4.0,1.0,1.1481,1.0741,1.2222,1,1.5,1,0,H
2000-02-12,Nepal,Bhutan,,,,6.0,0.0,4.5313286690864265,4.5313286690864265,0.0,5.0,10.0,3.0,21.0,0.7407,1.8519,0.2469,2.4691,1,3.0,3,0,H
2000-02-12,South Africa,Tunisia,1648.0,1644.0,4.0,10.0,7.0,1.2948225952785997,8.46929130968235,7.17446871440375,6.0,4.0,4.0,7.0,0.8889,0.6296,1.0,0.6296,1,1.5,2,2,D
2000-02-12,United States,Haiti,1804.0,1410.0,394.0,8.0,7.0,1.542007612124885,8.300538065536136,6.758530453411251,8.0,6.0,7.0,11.0,0.8519,0.6667,1.7037,0.963,0,1.5,3,0,H
2000-02-12,Yemen,Turkmenistan,,,,7.0,1.0,6.579952920323707,7.787179840705784,1.2072269203820774,12.0,7.0,3.0,16.0,0.6667,1.2963,1.0,1.5185,1,3.0,0,1,A
2000-02-13,Costa Rica,Canada,,1567.0,,10.0,11.0,-0.03617831986976405,11.408860601852018,11.445038921721782,12.0,7.0,6.0,2.0,1.8889,0.963,0.6667,0.8148,1,1.5,2,2,D
2000-02-13,Dominican Republic,British Virgin Islands,,,,7.0,4.0,3.7484923223927895,7.301280275650308,3.5527879532575186,5.0,10.0,7.0,11.0,0.9259,1.6296,0.8519,2.5185,0,1.0,1,0,H
2000-02-13,Macau,Brunei,,,,3.0,1.0,3.9181100079985747,4.650330148440767,0.732220140442192,2.0,27.0,5.0,13.0,0.5926,4.037,0.4444,2.5185,0,3.0,1,0,H
2000-02-13,Mexico,Trinidad & Tobago,1904.0,,,8.0,2.0,6.234279443465308,7.744722333160784,1.5104428896954756,4.0,3.0,5.0,8.0,1.1481,0.8148,1.9259,1.0,1,1.5,4,0,H
2000-02-13,Nigeria,Cameroon,,,,13.0,10.0,2.4966347694450057,13.535559719115614,11.038924949670609,10.0,3.0,9.0,3.0,0.8889,1.2963,1.0741,0.4815,0,1.5,2,2,D
